name;base_fond;science_fond;ams;n_buildings;n_days;guests;employees
Джидинская карт.галерея, с.Петропавловка;4036;322;1286;1;183;0.6;3
Музей народов севера Бурятии им.А.Г.Позднякова;3005;659;2401;5;280;2.8;11
Хоринский историко-краеведческий музей;3602;415;1667;1;260;1.8;4
Белорецкая картинная галерея;898;0;793;1;295;6.8;5
Салаватская картинная галерея;277;33;310;1;244;6.8;5
Ишимбайская картинная галерея;104;0;104;1;255;8;3
Курганский обл. краеведческий музей;196100;61865;13780;1;314;86.1;55
Мокроусовский районный краеведческий музей;5113;3122;0;1;247;5.2;5
Куртамышский краеведческий музей им.Н.Д.Томина;15559;6350;0;1;269;7.9;4
Далматовский краеведческий музей;15687;3965;633;1;296;12;4
Шадринский краеведческий музей им.Бирюкова;38020;22561;1500;1;237;21.2;24
Каргапольский исторический музей;10873;5695;0;1;303;5.8;2
Катайский районный краеведческий музей;12845;9343;400;1;293;6.8;8
Курганский обл. художественный музей;9874;872;10746;1;362;83.5;43
Павинский районный краеведческий музей;2107;729;812;1;247;1.2;2
Музей художника Б.Я.Ряузова;250;51;247;1;275;4.7;7
"Мариинский музей ""Береста Сибири""";2205;170;0;2;309;16.2;6
Железногорский краеведческий музей;27227;10785;10300;1;320;21.5;14
Курский обл. краеведческий музей;158396;29287;13477;1;308;92.7;82
"Ист.-мемор.музей ""Командный пункт Центрального фронта""";6559;1883;0;2;298;21.7;15
Мемориальный  музей А.Гайдара;5902;872;0;1;253;7.1;7
Мемориальный  музей Н.Асеева;18858;1171;0;1;247;6.5;4
Поныровский историко-мем.музей Курской Битвы;7781;6181;0;1;247;22;35
Павлоградский краеведческий музей;5290;5140;5032;1;247;6.8;3
Музей истории города Черногорска;31260;2973;31081;2;342;50.9;8
Венгеровский краеведческий музей им.П.М.Пономаренко;8040;6000;650;1;250;6.8;8
Карасукский краеведческий музей;9960;3463;3603;1;303;17.3;14
Оренбургский губернаторский ист.-краеведческий музей;99582;25635;99183;4;73;72.5;82
Абдулинский ист.-краеведческий музей;7589;3003;3511;1;305;10.6;6
Орский краеведческий музей;46249;31327;1108;3;276;17.4;23
Кувандыкский музейно-выставочный центр;8235;1695;0;1;247;6.2;5
Новотроицкий муз.-выставочный комплекс;37129;7810;3200;1;308;44.9;15
Бугурусланский краеведческий музей;18403;8468;3001;1;248;9;10
Саракташский МВЦ им.М.Чумакова;8353;1320;472;1;254;6.7;4
Национальный музей Чеченской Республики;33969;2344;389;10;295;156;178
Бугурусланский музей-заповедник С.Т.Аксакова;1831;780;781;6;261;5.7;4
Бузулукский краеведческий музей;17720;4779;6001;1;300;32.1;14
Оренбургский обл. музей изоискусств;8692;1719;7076;5;250;28.3;64
Гайский историко-краеведческий музей;2040;2044;0;2;218;10.5;4
"Археологический музей-заповедник ""Танаис""";116782;34625;80882;20;365;64.1;42
Миасский городской краеведческий музей;52955;9185;19310;1;311;16.6;21
Саткинский гор. краеведческий музей;18316;3759;22075;1;250;5.1;14
Троицкий краеведческий музей;30395;10251;32200;4;362;13.2;32
Уйский краеведческий музей;6061;4056;7143;1;227;6.5;4
Кизильский историко-краеведческий музей;3772;5831;4956;2;237;5;5
Чебаркульский краеведческий музей;5715;1246;5580;1;298;4.5;6
Варненский краеведческий музей;4511;275;4507;1;297;3.8;5
Магнитогорская картинная галерея;6220;2003;4484;1;310;33.7;33
Каслинский историко-художественный музей;19152;11950;20756;5;315;24.7;17
Забайкальский краеведческий музей им.Кузнецова;133355;82999;79284;3;321;68.4;70
Петровск-Забайкальский музей декабристов;429;76;201;2;247;2.9;6
Газимуро-Заводский краеведческий музей;570;972;0;1;260;1.8;7
Нерчинский краеведческий музей;22008;13804;710;1;323;14.1;39
Агинский национальный музей им.Цыбикова;9535;1514;557;1;353;7.4;26
Глазовский краеведческий музей;36081;9177;0;4;356;32.1;40
Алнашский объед.ист-литературный музей;2895;428;0;3;365;8.5;8
Воткинский музей истории и культуры;14730;1610;0;1;300;23;13
Увинский историко-художественный музей;3686;1453;3686;2;260;14.6;11
Можгинский историко-краеведческий музей;5400;591;0;1;298;24.2;11
Музей истории и культуры Ср.Прикамья;149279;64077;0;6;313;57;69
Гос.музей-усадьба Чайковского,Воткинск;18843;3346;12228;16;310;68.4;88
Удмуртский респ. музей изоискусств;10161;3086;13081;2;288;18.3;53
Музей Орджоникидзевского района;5463;314;5453;1;247;6;6
